uid,domainID,siteID,namedLocation,collectDate,stationToInjectionDistance,specificConductanceRep1,specificConductanceRep2,specificConductanceRep3,specificConductanceRep4,sampleCollected,saltBackgroundSampleID,saltBackgroundSampleCode,remarks,incompleteExperimentQF
"125d3e3e-0709-41a1-8b9e-f8d486c000d8","D19","CARI","CARI.AOS.reaeration.station.03","2017-08-03T18:57Z",312.60,102.10,101.50,101.60,101.30,"Y","CARI.B3.20170803.TCR",,,
"377b89b4-bd7b-46d8-9895-4cf1c7958bb8","D19","CARI","CARI.AOS.reaeration.station.02","2017-08-03T18:57Z",194.10,102.20,101.80,101.80,101.50,"Y","CARI.B2.20170803.TCR",,,
"002a29b0-3b33-460c-87d3-db205e1716c9","D19","CARI","CARI.AOS.reaeration.station.01","2017-08-03T18:57Z",31.70,101.10,101.10,101.30,101.30,"Y","CARI.B1.20170803.TCR",,,
"bffd5fc3-fd7f-4c9c-9212-66733d988392","D19","CARI","CARI.AOS.reaeration.station.04","2017-08-03T18:57Z",369.30,101.50,100.90,101.70,101.60,"Y","CARI.B4.20170803.TCR",,,
"1b5512f3-a0a1-46c8-b5f2-a00b2a56c859","D19","CARI","CARI.AOS.reaeration.station.04","2017-08-10T18:02Z",369.30,104.30,103.80,103.70,103.80,"Y","CARI.B4.20170810.TCR",,,
"bc3acc32-e5f6-4263-b78e-5b289df06aef","D19","CARI","CARI.AOS.reaeration.station.02","2017-08-10T18:02Z",194.10,104.30,104.20,103.90,103.70,"Y","CARI.B2.20170810.TCR",,,
"35fd3ebf-115d-4bbf-b722-4f52c2a7b739","D19","CARI","CARI.AOS.reaeration.station.03","2017-08-10T18:02Z",312.60,104.20,104.10,103.80,103.90,"Y","CARI.B3.20170810.TCR",,,
"5ed68431-934d-4106-af45-a5394f3b4700","D19","CARI","CARI.AOS.reaeration.station.01","2017-08-10T18:02Z",31.70,103.20,103.30,103.20,103.40,"Y","CARI.B1.20170810.TCR",,,
"47396524-6074-4e84-8978-0bf07a9aae44","D19","CARI","CARI.AOS.reaeration.station.04","2017-08-18T17:49Z",369.30,81.60,82.00,80.90,81.60,"Y","CARI.B4.20170818.TCR",,,
"67cd6089-5e3c-4847-b34c-29ea5c0d41ca","D19","CARI","CARI.AOS.reaeration.station.02","2017-08-18T17:49Z",194.10,81.20,80.90,81.30,80.60,"Y","CARI.B2.20170818.TCR",,,
"a8f1643a-4fa8-4154-9101-26e888660fac","D19","CARI","CARI.AOS.reaeration.station.01","2017-08-18T17:49Z",31.70,81.70,81.00,81.80,81.20,"Y","CARI.B1.20170818.TCR",,,
"0c485b23-e29c-4e8b-ae29-c76a22687053","D19","CARI","CARI.AOS.reaeration.station.03","2017-08-18T17:49Z",312.60,81.20,81.50,81.20,81.30,"Y","CARI.B3.20170818.TCR",,,
"332b36e1-a009-4a41-bafc-f5b17abc4f50","D19","CARI","CARI.AOS.reaeration.station.03","2017-08-25T16:42Z",312.60,88.80,88.30,88.50,89.00,"Y","CARI.B3.20170825.TCR",,,
"d5868ee6-c930-4182-bf06-f19fc3ea311b","D19","CARI","CARI.AOS.reaeration.station.01","2017-08-25T16:42Z",31.70,89.20,88.60,88.90,89.20,"Y","CARI.B1.20170825.TCR",,,
"d352863a-5b5a-4cc8-b2e1-60cbbb681714","D19","CARI","CARI.AOS.reaeration.station.04","2017-08-25T16:42Z",369.30,89.50,89.80,89.80,91.50,"Y","CARI.B4.20170825.TCR",,,
"ca412cf6-ef9d-4fe8-b6cf-5aa7da45d3e8","D19","CARI","CARI.AOS.reaeration.station.02","2017-08-25T16:42Z",194.10,89.40,89.10,89.10,89.20,"Y","CARI.B2.20170825.TCR",,,
